Repository,Description
EdwinVW/dapr-traffic-control,Simple sample application for experimenting with dapr.
jarjin/FinalFramework,为独立游戏而生，Gameplay热更新游戏框架。（对初学者不友好）
sergioabreu-g/active-ragdolls,Active Ragdolls in Unity
ValveSoftware/unity-xr-plugin,OpenVR plugin for Unity's XR API
silverua/slay-the-spire-map-in-unity,Implementation of the Slay the Spire Map in Unity3d
ustayready/SharpHose,Asynchronous Password Spraying Tool in C# for Windows Environments
googlevr/cardboard-xr-plugin,Google Cardboard XR Plugin for Unity
ToughNutToCrack/ARWT,"This library allows you to use Unity to build AR Web applications, working as a bridge between Unity and the best AR libraries available for the Web."
yasirkula/UnityNativeFilePicker,A native Unity plugin to import/export files from/to various document providers on Android & iOS
toniebox-reverse-engineering/teddy,With this tool you can dump existing files for the famous audio box or create custom ones.
jfmaes/SharpZipRunner,Executes position independent shellcode from an encrypted zip 
hai-vr/combo-gesture-expressions-av3,"Attach face expressions to hand gestures, and make it react to Avatars 3.0's features, including Contacts, PhysBones and OSC."
ivaylokenov/Architecture-of-ASP.NET-Core-Microservices-Applications,Architecture of ASP.NET Core Microservices Applications
CoretechR/Keybon,Adaptive Macro Keyboard
rxwx/chlonium,Chromium Cookie import / export tool
EasyAbp/AbpHelper.CLI,Providing code generation and more features to help you develop applications and modules with the ABP framework.
miyconst/Mi899,Tool set for Chinese X99 motherboards
Steven-Cannavan/URP_ScreenSpacePlanarReflections,Simple example of implementing Screen Space Planar Reflections as a RenderFeature
Gaxil/Unity-AlembicToVAT,Alembic to VAT (Vertex Animation Texture) mini tool
NetSPI/ESC,"Evil SQL Client (ESC) is an interactive .NET SQL console client with enhanced SQL Server discovery, access, and data exfiltration features. While ESC can be a handy SQL Client for daily tasks, it was originally designed for targeting SQL Servers during penetration tests and red team engagements. The intent of the project is to provide an .exe, but also sample files for execution through mediums like msbuild and PowerShell."
andrewlock/asp-dot-net-core-in-action-2e,"Source code examples for ASP.NET Core in Action, Second Edition"
gdquest-demos/godot-design-patterns,Code design patterns in Godot and in GDScript. State machines and the likes.
Shogan/kube-chaos,"A chaos engineering style game where you seek out and destroy Kubernetes pods, twinstick shmup style."
ShootMe/FallGuysStats,Fall Guys Stats Tracker
jglim/UnlockECU,"Free, open-source ECU seed-key unlocking tool."
ProfessionalCSharp/ProfessionalCSharp2021,Source code for Professional C# and .NET 2021 Edition (with updates for C# 11 and .NET 7)
Kink3d/kMotion,Motion Blur for Unity's Universal Render Pipeline.
Oaz/AvaloniaGraphControl,A graph layout panel for AvaloniaUI
dreamCirno/Hollow-Knight-Imitation,空洞骑士の复刻
FontStashSharp/FontStashSharp,C# port of https://github.com/memononen/fontstash
EasyAbp/EShop,An abp application module group that provides basic e-shop service.
imazen/imageflow-server,"A super-fast image server to speed up your site - deploy as a microservice, serverless, or embeddable."
AaronKelley/DellFanManagement,A suite of tools for managing the fans in many Dell laptops.
bats3c/EvtMute,Apply a filter to the events being reported by windows event logging
godotengine/godot-csharp-visualstudio,Godot C# extension for Visual Studio
360-Linton-Lab/Telemetry,WINDOWS TELEMETRY权限维持
Ishaan35/Unity3D-Mario-Kart-Racing-Game,"https://www.youtube.com/watch?v=s_nEniWLLgo. This is a 3D Mario kart game created with the unity game engine with C#. Kart racer supports items, anti-gravity mode, computer players, underwater mode, and real-time shadows and lighting."
microsoft/Tools-for-Health-Data-Anonymization,Set of tools for helping with data (in FHIR format) anonymization.
haolange/InfinityRenderPipeline,Graphics Research for Unity Scriptable Render Pipeline.
zmjack/Chinese,中文解析通用工具。包括拼音，简繁转换，数字读法，货币读法。
ina-amagami/OverdrawForURP,Scene Overdraw in Universal Render Pipeline.
yupingyong/kite.gateway,基于Yarp的Api网关
Mutagen-Modding/Synthesis,A patcher pipeline framework and GUI.  Run collections of code-based mods to create content customized for your load order
microsoft/winget-cli-restsource,This project aims to provide a reference implementation for creating a REST based package source for the winget client.
nukadelic/UnityEditorIcons,Build in unity editor icons 
madskristensen/Tweakster,A Visual Studio extension
VictorNicollet/NoAlloq,"LINQ for Span<T>, without memory allocations."
keijiro/NNCam,Virtual background with Unity Barracuda
roubachof/Sharpnado.CollectionView,"A performant list view supporting: grid, horizontal and vertical layout, drag and drop, and reveal animations."
Gameslinx/Tessellation,A Tessellation and Triplanar terrain shader for planetary terrain
needle-tools/shadergraph-markdown,"Markdown-like syntax for ShaderGraph properties, to make better material inspectors"
zulubo/SpecularProbes,"Bake specular highlights into Unity Reflection Probes, allowing baked lights to cast sharp specular highlights for free"
sf197/GetPwd,用CSharp写的一款信息搜集工具，目前支持Navicat、TeamView、Xshell、SecureCRT产品的密码解密
OnClick9927/IFramework,Simple  C# Framework
oskardudycz/WebApiWith.NET,Samples and resources of how to design WebApi with .NET
Tycx2ry/SweetPotato_CS,修改的SweetPotato，使之可以用于CobaltStrike v4.0
KennanChan/Revit.Async,Use task-based asynchronous pattern (TAP) to run Revit API code from any execution context.
BeatTogether/BeatTogether,A multiplayer private server for the modding community. Supports crossplay between PC and Quest.
checkymander/Zolom,C# Executable with embedded Python that can be used reflectively to run python code on systems without Python installed
roubachof/Sharpnado.TaskLoaderView,"Free yourself from IsBusy=true! The `TaskLoaderView` is a UI component that handles all your UI loading state (Loading, Error, Result, Notification), and removes all the pain of async loading from your view models (try catch / async void / IsBusy / HasErrors / base view models / ...) thanks to its brother the `TaskLoaderNotifier`."
GhostPack/Lockless,Lockless allows for the copying of locked files.
akauper/Addressables-AssetManager,"Pre-loading, Synchronicity, and Pooling for Unity Addressables"
fhlsteven/CLR_via_CSharp,CLR Via C# 第四版
sbski/Renoir-Mobile-Tuning,Control power and temperature limits on AMD Renoir powered laptops.
poerin/Stroke,鼠标手势（Mouse Gestures）
BinaryScary/NET-Obfuscate,Obfuscate ECMA CIL (.NET IL) assemblies to evade Windows Defender AMSI 
YukiCoco/CheapSteam,Cheap Steam 为您提供 STEAM 与 BUFF 的饰品价格对比数据.
keypax/object-pooling-in-unity-demo,This demo project shows custom implementation of Object Pooling used in our upcoming game: Pelagos: Rise of Greece
microsoft/durabletask-netherite,A new engine for Durable Functions. https://microsoft.github.io/durabletask-netherite
yahiaetman/URPCustomPostProcessingStack,A Customizable Post-Processing Renderer Feature for Universal Render Pipeline
Fewes/MeshDecal,A simple mesh decal component for Unity
Kink3d/kPooling,Customizable Object Pooling for Unity.
Cysharp/DFrame,Distributed load testing framework for .NET and Unity.
mixandjam/AC-Dialogue,Recreating the Dialogue system from Animal Crossing
shanselman/PowerPointToOBSSceneSwitcher,"A .NET core based scene switcher than connects to OBS and changes scenes based note meta data. Put ""OBS:Your Scene Name"" as the first line in your notes and ensure the OBS Web Sockets Server is running and this app will change your scene as you change your PowerPoint slides"
rahulsahay19/eCommerce-App,Ecommerce App using .Net Core 3.1 and Angular 9
upscalebaby/generic-serializable-dictionary,Minimalist dictionary for Unity 2020 and above with native look and feel
PeyShine/Demo.MicroServer,一个基于AspDotNetCore+Swagger+Consul+Polly+Ocelot+IdentityServer4+Exceptionless+Apollo+SkyWalking的微服务开发框架
Jellevermandere/4D-Raymarching,"a Unity framework to create spacial 4 dimentional games, using raymarching"
RedCursorSecurityConsulting/CVE-2020-0668,Use CVE-2020-0668 to perform an arbitrary privileged file move operation.
med0x2e/NoAmci,Using DInvoke to patch AMSI.dll in order to bypass AMSI detections triggered when loading .NET tradecraft via Assembly.Load().
XINCGer/LitJson4Unity,适用于Unity的改进型LitJson库
keremvaris/Sennedjem,"Sennedjem CQRS (Command Query Responsibility Segregation) yaklaşımını benimseyen ve SOLID prensiplerini ve Clean Architecture yöntemlerini odaklayan bir yazılım geliştirme alt yapısıdır. RabbitMq, ElasticSearch vb araçlara entegre olmak konusunda çok yeteneklidir."
Azure/Commercial-Marketplace-SaaS-Accelerator,"A reference example with sample code for developers interested publishing transactable, Software as a-Service offers in the Microsoft commercial marketplace."
securesean/DecryptAutoLogon,Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon
gasgiant/Camera-Shake,Camera shake for Unity
Anapher/Strive,Open source video conferencing platform
Geektoolkit/Dynaframe3,Dynamic Photo and Video Slideshow system for SBC (such as Raspberry pi)
am0nsec/SharpHellsGate,C# Implementation of the Hell's Gate VX Technique 
swagkarna/Echelon-Stealer,"☣️ Stealer chrome v81+, Firefox v75+, And more than 30 different programs and crypto-wallets "
cornflourblue/aspnet-core-3-jwt-refresh-tokens-api,ASP.NET Core 3.1 API - JWT Authentication with Refresh Tokens
chexiongsheng/puerts_unity_demo,unity demo for puerts
riskydissonance/SharpCookieMonster,Extracts cookies from Chrome.
EntroPi-Games/Unity-Cloud-Shadows,Animated cloud shadows asset for Unity
VerifyTests/DiffEngine,Manages launching and cleanup of diff tools
LeonBlade/BDTHPlugin,A plugin for FFXIVQuickLauncher to help with manipulating housing items.
rvrsh3ll/Rubeus-Rundll32,Run Rubeus via Rundll32
CodAffection/React-CRUD-with-Asp.Net-Core-Web-API,Full Stack React js CRUD with Asp.Net Core Web
wxzz/CSharpFlink,a real-time computing framework
serilog/serilog-expressions,"An embeddable mini-language for filtering, enriching, and formatting Serilog events, ideal for use with JSON or XML configuration."
TonCunha/multi-microsoft-teams,Launcher to manage profiles and open multiple instances of Microsoft Teams desktop version. It's compatible with many accounts and organizations (tenants).
3xpl01tc0d3r/Obfuscator,The program is designed to obfuscate the shellcode.
DarkBullNull/VMP.NET-Kill,This program help you with unpacking vmprotect
dotnet/datalab,"This repo is for experimentation and exploring new ideas involving ADO.NET, EF Core, and other areas related to .NET data."
Unity-Technologies/com.unity.editoriterationprofiler,Assists in capturing frames from the Profiler of Domain Reloads in the Unity Editor. Compatible with Unity 2019.3+.
Mr-B0b/SpaceRunner,"This tool enables the compilation of a C# program that will execute arbitrary PowerShell code, without launching PowerShell processes through the use of runspace."
TheKingOfDuck/MatryoshkaDollTool,MatryoshkaDollTool-程序加壳/捆绑工具
Fewes/TerrainPrettifier,A small GPU-based component designed to aid in cleaning and refining satellite/DEM based terrains directly inside Unity.
GoogleCloudPlatform/functions-framework-dotnet,FaaS (Function as a service) framework for writing portable .NET functions
Yecats/UnityBehaviorTreeVisualizer,A tool built in Unity that draws a graph representation of behavior trees running in the scene
Ombrelin/plex-rich-presence,A desktop app to enable discord rich presence for your Plex Media Server Activity
cocosip/sharp-abp,Abp-vNext extension modules
JacobsDataSolutions/OrgManager,CQRS and Clean Domain-Driven Design concepts on the ASP.NET Core stack. Demo application for a fictional corporate organization management tool.
LemonUIbyLemon/LemonUI,"LemonUI for .NET (FiveM, RageMP, RagePluginHook and ScriptHookVDotNet 3)"
Tvtig/UnityLightsaber,A lighsaber modelled in blender and brough to life in unity
WOA-Project/Lumia-Drivers,Collection of driver binaries for Lumia devices
handzlikchris/Unity.MissingUnityEvents,"Editor extension to generate events that are executed before property set, eg. Transform-position, Transform-rotation, Transform-parent which allows to write more event driven code or debug property changes that are not simple to track down. Easily customisable to allow adding events to different property setters / types."
leftp/VmdkReader,.NET 4.0 Console App to browse VMDK / VHD images and extract files
microsoft/Audio-Manager-for-Unity,A tool for defining and executing audio behaviors in Unity in a node based editor
BlueMystical/EDHM_UI,User Interface for EDHM mod (Elite Dangerous)
JosefNemec/PlayniteExtensions,Extensions for Playnite game launcher and manager.
