Repository,Description
Matthew-J-Spencer/Unity-AutoSave,auto save scene set interval
RikunjSindhwad/MSSQL-Attacker,mssql database attacker tool
eiriktsarpalis/PolyType,practical generic programming net
xiaoye97/DinkumChinese,dinkum
Editise/Editise,tiny cms net csharp blazor based fast need database content comes directly word docx documents
GavinLonDigital/ShopOnlineSolution,shoponlinesolution part blazor shopping cart application video tutorial demonstrated youtube location
mysteryx93/HanumanInstitute.MvvmDialogs,library simplifying concept opening dialogs view model using mvvm
cube0x0/LdapSignCheck,beacon object file csharp project check ldap signing
DrummerSi/TaskSeparator11,software allow users separate icons windows eleven taskbar
UIWidgets/com.unity.uiwidgets,uiwidgets framework
Sicos1977/TesseractOCR,net library work googles tesseract
jensroth-git/WinLaunch,macos launchpad windows
andrewlock/asp-dot-net-core-in-action-3e,source code examples aspnet core action third edition
sunija-dev/aiimages,unity ui easy installer stable diffusion
crossous/SocoTools,crossouss unity toolscurrently contains shader variant stripper tools
ArakawaHenri/EnergyStarX,throttle background programs automatically
muak/AiForms.Maui.SettingsView,settingsview net maui
DotNetNext/ReZero,rezeroapi api api orm
shalzuth/LostArkLogger,lost ark dps meter
dosxuz/DefenderStop,stop defender service using csharp via token impersonation
davidfowl/YarpTunnelDemo,yarp demo showing tunneling implemented websockets
LegoFigure11/RaidCrawler,raid viewer pokemon scarlet violet
jfmaes/AmsiHooker,hookers cooler patches
xpnas/yopngs,cosossb2
Penecruz/VAICOMPRO-Community,vaicom pro dcs world
cdanek/KaimiraWeightedList,generic collection selecting random elements weight o1 csharp
AKGWSB/CasualPRT,precomputed radiance transfer global illumination unity urp
meziantou/Meziantou.Xunit.ParallelTestFramework,run xunit test cases parallel
googlecreativelab/balloon-pop,multiplayer geospatial experience
derekbanas/C-Sharp-Course,code csharp mega course broken eighteen different folders basically free full udemy course hope find useful
KevinDockx/CSharp10DesignPatterns,fully functioning sample code csharp10 design patterns course
natecurtiss/mirage,small 2d csharp game engine made twentyfour hours
plackyhacker/SandboxDefender,csharp code sandbox defender probably avedrs
stratosblue/IntelliSenseLocalizer,tool generate net localized intellisense files net intellisense
henpemaz/Rain-Meadow,rain world multiplayer engine custom game mode
136512892/SKFramework,unity skframework
Matthew-J-Spencer/Unity-Netcode-Starter,project aimed teaching basics unity netcode
Scighost/WinUI3Keng,winui three
ironmansoftware/terminal-gui-designer,terminal gui designer powershell
a820715049/BiliBiliLive,unity bilibili sc
naweed/MauiScientificCalculator,scientific calculator built using dotnetmaui
ardalis/WebApiBestPractices,resources related pluralsight course topic
guojin-yan/OpenVINO-CSharp-API,openvino wrapper net
tmds/build-image,containerize net apps without writing dockerfiles
naweed/Maui.Controls.BottomSheet,bottom sheet control built using net maui
GlossMod/UnityScriptTrainer,unity
Kneesnap/onstream-data-recovery,repository detailing data recovery onstream tapes
oculus-samples/Unity-AssetStreaming,oculus asset streaming showcase demonstrating use asset streaming navigating open world project using different level details sample also demonstrates use unity addressables system oculus sdk supporting material subject oculus proprietary license
BorisTheBrave/sylves,csharp grid library
matthewrenze/clean-architecture-core,sample app online course clean architecture patterns practices principles net core
cornflourblue/dotnet-6-signup-verification-api,net sixty boilerplate api email sign verification authentication forgot password
Matthew-J-Spencer/Pathfinding,related video
netwrix/PingCastleCloud,audit program azuread
TheMulhima/Lumafly,cross platform mod manager hollow knight written avalonia
sql-bi/Contoso-Data-Generator,custom contoso database generator readytouse contoso sample databases sql server
loresoft/Injectio,source generator helps register attribute marked services dependency injection servicecollection
nref/BrowseRouter,windows launch different browser depending url
FluentValidation/FluentValidation.AspNetCore,aspnet core integration fluentvalidation
mandiant/route-sixty-sink,link sources sinks csharp applications
STBBRD/ZongziTEK-Blackboard-Sticker,
cube0x0/ParallelSyscalls,csharp version mdsecs parallelsyscalls
GuillaumeMrNiato/PS5-Devkit-Testkit-Console-Manager,simple console manager ps5 devkittestkit
bohops/DynamicDotNet,collection various sundry code snippets leverage net dynamic tradecraft
MartinIngesen/TokenStomp,csharp implementation token privilege removal flaw discovered gabriellandauelastic
Semperis/GoldenGMSA,golengmsa tool working gmsa passwords
jasontaylordev/RapidConsole,project creating commandline application run net windows linux macos support commands dependency injection logging whole lot
luotengyuan/MyMapTools,gpsgpsgmapnet baidu amap tencent tianditu ship google bing openstreetmap arcgis herenokia gpswgs84gcj02bd09 poiwebapipoi webapi csvexcelnmea gps
keijiro/SimplePostEffects,simple post effects unity urp using shader graph
rrmanzano/maui-bindableproperty-generator,source generator automatically transforms fields bindableproperties used maui
junkai-li/NetCoreKevin,net6dddwebapiids4capsignalr
Nordgaren/Elden-Ring-Debug-Tool,debug tool elden ring modding
AxionDrak/GameCube-Backup-Manager,gamecube backup manager software convert iso files nintendont format
nilaoda/N_m3u8DL-CLI-SimpleG,nm3u8dlclis simple gui
RoyTheunissen/Asset-Palette,allows quickly organize assets certain workflows organizing prefabs level design
madskristensen/RainbowBraces,visual studio extension
DamianEdwards/BlazorIdentity,exploration recreating aspnet core identity ui functionality blazor components
microsoft/dev-tunnels-ssh,ssh library devtunnels
aianlinb/LibGGPK3,library contentggpk game pathofexile rewrite libggpk2
benvillalobos/msbuildism,msbuild complicated let us lift veil
provencher/OpenXR_XRI_Sample,showcase new xri features
markjprice/apps-services-net8,repository packt publishing book titled apps services net eight mark j price
CSharpDesignPro/WPF---Responsive-UI-Design,wpf responsive ui design
keijiro/CharacterRigTest,procedural walk animation animation rigging
oculus-samples/Unity-SharedSpatialAnchors,unitysharedspatialanchors built demonstrate use shared spatial anchors api available meta xr core sdk unity game engine
Bardent/Weapon-System-Tutorial-Series-Unity,files part weapon system tutorial series youtube
keijiro/StickShow,unity sample gpu instancing rendermeshinstanced
JDArmy/SharpSpray,
BIGBOSS-dedsec/OpenCV-Unity-To-Build-3DPerson,use opencv image capture powerful mediapipe library achieve human movement detection recognition recognition results synchronized unity real time realize recognition character models moving body structure unity
buck-co/PocketGarden,unity example using google geospatial api
Unity-China/cn.unity.hairfx.core,unity hairfx strands based hair system tressfx based framework
UnityTechnologies/HDRP-Defender-Character-Demo,tressfx hair plugin beta character package hairstyles assets hdrp
MontagueM/Charm,destiny two reverse engineering tool extracting cool things game files
microsoft/durabletask-dotnet,outofprocess net sdk durable task framework
sa-es-ir/DotNet.RateLimit,distributed ratelimit controlleractions minimal api
kevingosse/Silhouette,library build net profilers net
Matthew-J-Spencer/Unity-Matchmaking,example project utilizing lobby relay netcode
4RTools/4RTools,autopot skill spammer dancer macro
ddm999/ClubmanSharp,replacement clubman ahk script written scratch csharp
IeuanWalker/Maui.Breadcrumb,breadcrumb navigation control completely automatic uses navigation stack page titles generate breadcrumbs also one hundred accessible default
dingxiaowei/MonitorTool,unity
taurusxin/Ofd2Pdf,convert ofd files pdf files
davidfowl/WebApplicationPlugins,sample plugin model aspnet core applications
PITR-DEV/ukbutt-mod,official ultrakill mod adds buttplugio support
PinoyWH1Z/AoratosWin,tool removes traces executed applications windows os
mrpmorris/Morris.Moxy,moxy mixins code generator csharp
xpn/WAMBam,tooling related wam bam recovering web tokens office blog post
oculus-samples/Unity-UltimateGloveBall,meta quest esport showcase demonstrating multiplayer functionalities unity including oculus social apis avatars oculus platform authentication oculus multiplayer apis photon realtime photon voice oculus spatializer inapp purchases
retropassdev/RetroPass,retro pass simple frontend emulators running xbox
1582421598/Il2CppDumper-Genshin,modified version il2cppdumper allows dump methods userassemblydll game genshin impact
linkdotnet/BlogExamples,contains examples various blog posts
CyberSys/CreamInstaller,automatically finds installed steam games respective steamworks dll locations users computer automatically parses steamcmd steam store games dlcs provides simple graphical interface utilizing gathered information primary function program automatically generate install creamapi whichever games dlcs user selects however use rightclick context menu user also automatically repair paradox launcher open parsed steamcmd appinfo notepad refresh parsed steamcmd appinfo open root directories steamworks dll directories explorer open steamdbsteam storesteam community links default browser
TheFlyingFoool/DuckGameRebuilt,duck game decompiled rebuilt added features
1357310795/TodoSync,github actions canvas lms microsoft todo
TeamStepping/Stepping.NET,stepping distributed base jobs implementation use workflow engine event outboxinbox emailsms sender remote invoker
AmusementClub/OKP,onekeypublishtorrentbt
Zerbu/Mod-Constructor-5,sims four mod constructor downloadable program allows users create mods sims four userfriendly environment version five easier use ever
Elem8100/WzComparerR2-Plus,maplestory online extractor wzcomparerr2
KLab/wsnet2,
hansschmucker/NVStreamer1080,utility automatically detect nvidia gamestream activity set fitting resolution switch second screen
idexus/Sharp.UI,csharp code markup library net maui ui development fluent methods hot reload vs code vs2022
cjmanca/plex-credits-detect,augments plexs built intro detection additionally detecting credits
dymaptic/GeoBlazor,core components dymaptic geoblazor library
AliBharwani/Drecon,drecon implementation
dj-nitehawk/MiniDevTo,source code devto article building rest apis net eight easy way
ardalis/Ardalis.SharedKernel,useful base classes mainly used cleanarchitecture template also template make sharedkernel nuget package
shinyorg/templates,dotnet cli visual studio templates
sakiodre/FiddlerMomoPlugin,fiddler plugin ho tro giai traffic cua app momo
Jadekylin/UnitySkipSplash,skip unity splash screen one script
qian-o/MediaWPF,wpf demo
cornflourblue/dotnet-6-registration-login-api,net sixty api user management authentication registration
HollowaySean/BlackHoleViz_v2,black hole visualizer unity csharp
SagaciousG/ETPlugins,
InCerryGit/FasterKvCache,fasterkvcache inprocess hybrid cache library memorydisk based microsoft fasterkv
liulei901112/TextLocator,net
YingFengTingYu/PopStudio_Old,project convert many kinds files used popcap games
yasirkula/UnityMobileLocalizedAppTitle,localize unity apps name andor icon android ios
BeatLeader/beatleader-mod,beatleader mod pc beat saber
YUXUAN888/FSM3,fsmlauncher
LeahLee13/UnityCameraSystem_CC,cinemachine45cinemachinevirtual camara
Wilson403/MVI4Unity,mviunityui uguinguimvi4unity
Xeio/WanderLost,lost ark wandering merchant tracker
Fcakiroglu16/UdemyNLayerApp,udemy aspnet core webapicok katmanl mimaribest practicesnet6
CodAffection/Expense-Tracker-App-in-Asp.Net-Core-MVC,expense tracker app aspnet core mvc
hry2566/SWD4CS,swd4cs simple winforms designer csharp vscode
madewokherd/xalia,service adding gamepad ui traditional desktop applications
willlogs/unity-optimized-grass,optimized 3d grass unity works mobile opengl thirtyfive
MitchMakesThings/Godot-Things,collection tutorials miniprojects
huntercfreeman/Blazor.Text.Editor,repository nuget package titled blazortexteditor
0xthirteen/AssemblyHunter,find net assemblies locally
Wilson403/Html2UnityRich,htmlunityugui textpro
